frame,s1_eV,s2_eV,s3_eV,s4_eV,frac1,frac12,frac123,donor_span_eV,acceptor_low_span_eV,acceptor_high_span_eV,acceptor_middle_gap_eV,low_acceptor_coupling_norm_eV,high_acceptor_coupling_norm_eV
10,0.13044788603158664,0.028090370122046487,0.005338978776933089,0.0027166064011435683,0.9537623682935359,0.9979887097765039,0.9995863628556922,0.4618127214622012,0.191013618401576,0.16912851560467934,0.8288923167338068,0.07557048880193594,0.11013948306878484
11,0.1319423693792925,0.02781186445579586,0.0054110702938472924,0.0026934108684943925,0.9555386230019133,0.9979947033756741,0.9996018149914608,0.4564310600414919,0.1755543707032606,0.1660509336910516,0.8347344707658024,0.07676255016873766,0.11102402297409657
12,0.13346664789739185,0.027556546630299807,0.0054567502214281525,0.002681321683589457,0.957208878052329,0.998013634896614,0.9996136694498069,0.44999746612991126,0.15804896529456638,0.16183427406811235,0.8421974761530818,0.07803781669138657,0.11189179656322333
13,0.13498458767081323,0.02733400151392861,0.005471203110682382,0.002680061181018746,0.9587340086400257,0.9980470092295421,0.9996220632002918,0.44288307148066197,0.13936704452150242,0.156618998998042,0.8506318402561699,0.07937524785457048,0.11271500950122279
14,0.13645570483738478,0.027134873742798053,0.0054582670043131325,0.0026880452637787784,0.9601247595544163,0.9980912003468275,0.9996274218085355,0.4354631182369952,0.12111752018268356,0.15059901584236232,0.858697742726221,0.08075029435172454,0.11345866641136498
15,0.13785735889112405,0.02693220618103926,0.005437085426027054,0.002704080268630059,0.9614396354430219,0.9981345579877546,0.9996300855704436,0.4280816353420109,0.10577559699018452,0.1440070264199228,0.8643501792789506,0.08212585640746148,0.11411491045250972
16,0.13915526951147011,0.026736565362977784,0.005409556923089508,0.002726707510450362,0.9626390828212047,0.9981756447435836,0.9996303920661118,0.421074141481252,0.09550991336715597,0.13702668831576842,0.8660702426966803,0.08348186675841616,0.11465822745315926
17,0.14032662708930155,0.026542671646094414,0.005378572852103533,0.002754335733756196,0.963732997652688,0.9982128839616289,0.9996287125163297,0.41473594624816695,0.0914679456575273,0.12999580082304754,0.8640250797653756,0.08480049946395991,0.11507157073011055
18,0.14135307803684424,0.026342101816124504,0.005348769369605763,0.002786012876198803,0.9647395789501336,0.9982438678070519,0.999625229157719,0.4093175440012903,0.0960682302888576,0.12316275052422988,0.859121118541823,0.08606274013940454,0.11534372527274363
19,0.14222016104176965,0.02613165771865524,0.005322225171363802,0.002821373487571943,0.965666034496988,0.9982676068308115,0.9996199630832816,0.40506518401108377,0.11044025347765486,0.11667708345334138,0.8521943226992776,0.08724943754988572,0.11546973464172981
20,0.14296988119317122,0.02591036246862529,0.005303185751252965,0.002861233775882501,0.9665379307542553,0.9982830356602151,0.9996128881411597,0.4021989846214845,0.13008982521351756,0.11061570988067715,0.8441124770068134,0.08823242730929169,0.11559880198595544
21,0.1435031493697767,0.025686328514931408,0.005280730123225597,0.002904156001522045,0.9673024025499953,0.9982939646557661,0.999603832098743,0.40098046398669523,0.15139116741858347,0.10524520687350936,0.8352649958771281,0.08917827274224704,0.11548375320817371
22,0.1438411974653659,0.025461666399277768,0.005258749703777348,0.0029511033974418187,0.9679690518379921,0.9982987815315174,0.9995925599236096,0.4015609179998793,0.172553585373772,0.1008719285949006,0.8262538071965589,0.09003332919067253,0.11519092689379613
23,0.14399332049160113,0.025249597211394696,0.005232761402057618,0.0030022860436288135,0.9685193744678557,0.998299911736489,0.9995789557368654,0.40381943343003723,0.1926056125687638,0.09797584851940327,0.8174920735877537,0.09074311250919843,0.1147767465606872
24,0.14395103074939336,0.025042705551600826,0.0052056689552127935,0.003057209455656079,0.9689704153416642,0.9982957821973989,0.9995629497754233,0.40743105501493515,0.21096539153607607,0.09702451766601175,0.8093137488484813,0.09127847460912807,0.11425288594654734
