frequency_cm_inverse,mode_1_psd_hartree2_fs,mode_2_psd_hartree2_fs,mode_3_psd_hartree2_fs,mode_4_psd_hartree2_fs,mode_5_psd_hartree2_fs,mode_6_psd_hartree2_fs,mode_7_psd_hartree2_fs,mode_8_psd_hartree2_fs,mode_9_psd_hartree2_fs,mode_10_psd_hartree2_fs,mode_11_psd_hartree2_fs,mode_12_psd_hartree2_fs,mode_13_psd_hartree2_fs,mode_14_psd_hartree2_fs,mode_15_psd_hartree2_fs,mode_16_psd_hartree2_fs,mode_17_psd_hartree2_fs,mode_18_psd_hartree2_fs
10006.922855944564,1.189712124358962e-10,8.613519801357456e-11,1.4978947454921e-11,5.0946343328081956e-11,6.416097268621986e-12,7.658684821247075e-12,3.888399045206429e-11,1.0824366944027023e-11,9.620704736642432e-12,1.2887053612236037e-11,9.696656170956622e-12,7.911882118842209e-12,9.101217887622562e-12,5.88275139901055e-12,1.6056522605382412e-12,2.0848858315903745e-13,1.167738876499108e-12,8.242195650681236e-13
10340.486951142717,7.381660499192336e-11,5.883616091671097e-11,9.389532937464674e-12,3.4766927149020526e-11,5.586913532717092e-12,7.886521989401744e-12,2.4072471851243034e-11,7.0642853099284216e-12,5.779211666951785e-12,5.2896344872116e-12,5.951002643728448e-12,5.0756217435340636e-12,7.967526301694156e-12,5.229223983182217e-12,1.4094876735185447e-12,4.217814439245138e-13,6.819642376646136e-13,6.60603950893888e-13
10674.051046340868,7.501738227391012e-11,7.640359644120407e-11,1.3402451629433549e-11,4.23266916670878e-11,6.0748454345698895e-12,6.185369066861324e-12,4.1599060568871046e-11,8.820320632374553e-12,6.674662217555331e-12,1.4543307328708562e-11,4.323582391444549e-12,4.041440055230033e-12,1.0848088803541574e-11,4.605322479176789e-12,1.3534895289246083e-12,2.405125489715667e-13,9.870876440045408e-13,7.461420075390971e-13
11007.615141539021,7.052488961349819e-11,5.894961134763767e-11,1.0790947860366985e-11,3.6645588791438406e-11,5.670519383923741e-12,8.272636260007956e-12,4.0634178999636313e-11,8.927342329605459e-12,1.4942203957368825e-11,1.7961142299329178e-11,4.087832886396026e-12,7.83274502931961e-12,9.931931482593071e-12,5.818227137192588e-12,1.4264218436788115e-12,2.817257708969627e-13,9.455000167224935e-13,6.961264441287291e-13
11341.179236737173,5.450258076085734e-11,3.7488317975658985e-11,1.1304826202180862e-11,2.2435670138583494e-11,5.547103470008528e-12,6.6268876741029175e-12,3.228462110468674e-11,4.676423929213249e-12,8.513934259149325e-12,9.044852571059705e-12,4.173611619075553e-12,4.594360599324086e-12,6.785799851916632e-12,3.906941555715128e-12,8.141290339124852e-13,4.030261258340079e-13,5.586324337757711e-13,4.733940041575318e-13
11674.743331935326,5.687964017458646e-11,6.129196775785288e-11,1.322751958990697e-11,3.322882847995313e-11,6.7498417010023345e-12,5.460877780896229e-12,3.203692333640481e-11,7.995644623777389e-12,5.485052548466609e-12,1.742678870609468e-11,8.97208893184328e-12,3.698297789763254e-12,6.33811819900808e-12,5.633872426937785e-12,1.1512167976588371e-12,2.413759157521555e-13,8.696570119445436e-13,6.970515047138559e-13
12008.307427133477,7.558051090230917e-11,6.886439309100411e-11,1.510104437308307e-11,4.8073582089889454e-11,4.689898593816279e-12,1.0075321982706726e-11,2.9556188826712676e-11,7.107719509711446e-12,6.937414110941713e-12,1.2448153237644676e-11,1.4005169502867294e-11,6.057961900423853e-12,9.171503164810854e-12,4.824517806972113e-12,1.6618553094382324e-12,3.3596973703366873e-13,9.714447554254391e-13,7.710881320935362e-13
12341.871522331629,6.26526757315826e-11,4.40297985387214e-11,1.0896146363045626e-11,3.9146969388246194e-11,4.049802535449177e-12,8.24353850861487e-12,2.0042963364921016e-11,7.436125304330919e-12,1.0070681597047451e-11,9.180339618238069e-12,7.203942943080108e-12,4.857131363041094e-12,5.313500232736714e-12,4.568854161702049e-12,1.1349869337564322e-12,2.397254716866437e-13,1.1170779395381796e-12,4.3378724786290643e-13
12675.435617529782,4.5880884610789525e-11,4.061018250468679e-11,9.043607691182523e-12,2.8865031719383883e-11,2.7861722049823294e-12,4.89184310233417e-12,1.8285943975180388e-11,7.609168205920766e-12,6.276579500826877e-12,1.0552236301156337e-11,2.3571224388192397e-12,3.908484464419152e-12,3.8100056526051635e-12,5.934307093278126e-12,1.2218368654170593e-12,1.7820395012391318e-13,1.0498828950376472e-12,3.0091129275898095e-13
13008.999712727933,5.569163383768175e-11,6.801615305093265e-11,8.052341597019917e-12,3.401997826061135e-11,2.504204656380995e-12,3.147568867156533e-12,3.4616412753391606e-11,7.611672556137526e-12,6.293039321946669e-12,7.888971677490983e-12,4.445321414367892e-12,4.013259759263743e-12,5.4090383814408455e-12,2.4404686354445693e-12,1.1667958237582563e-12,2.43468292257136e-13,8.989229540837006e-13,3.6617101191710653e-13
13342.563807926086,6.077761401590935e-11,9.004743464509302e-11,9.466816525290073e-12,3.931864666960363e-11,2.7751665540028815e-12,7.957027263033868e-12,4.330112431607586e-11,7.357313695552458e-12,8.779892307789256e-12,5.850295260683689e-12,7.784280301199305e-12,4.555082987990073e-12,9.768065282052333e-12,2.398181306506609e-12,1.1835349762987914e-12,2.9931837891199026e-13,1.099179817701932e-12,7.868900482204452e-13
13676.12790312424,5.175373478519674e-11,5.045096225713791e-11,1.0674409437672354e-11,2.6203317556788763e-11,1.8936846693752663e-12,6.79751524094067e-12,3.008948189863494e-11,3.821939805649792e-12,5.768398751428284e-12,6.239858321980086e-12,3.231751021292857e-12,3.128923817186256e-12,7.2573854190774294e-12,3.3502262908992222e-12,1.165158186203324e-12,2.4011386174834605e-13,6.62306618067737e-13,5.63692316157646e-13
14009.691998322389,7.185477353478874e-11,4.628168985689151e-11,1.498964883443494e-11,3.0079616007617156e-11,3.534639607669717e-12,6.283861025130178e-12,3.067415926632879e-11,2.4749162555462323e-12,3.2957622275714724e-12,4.879866544330629e-12,3.420572187362394e-12,2.8128280567868436e-12,5.43677289754469e-12,3.0603524442498146e-12,8.845159844841097e-13,2.0431687267407335e-13,3.9929684483562863e-13,5.508857919271925e-13
