mode_a,mode_b,maximum_absolute_normalized_crosscorrelation,signed_lag_of_maximum_fs,zero_lag_normalized_crosscorrelation,connected_at_threshold
3,4,0.30386437168151187,30.5,1.485269330366662e-16,True
12,15,0.3034242176085855,-8.5,-5.764012000428275e-16,True
6,8,0.30082899899021276,-43.5,1.9531511808684559e-16,True
7,14,0.2998091488719405,-47.5,-5.242701661864985e-16,True
4,14,0.2997418989511926,49.0,-4.596629318247648e-16,True
2,15,0.29649931205046187,46.5,1.0793814632749035e-16,True
9,17,0.29543142657685223,10.0,6.349712972999922e-17,True
12,13,0.2950146836324573,-50.0,-1.1019948681087542e-16,True
7,13,0.29398345128642994,17.0,2.815446334675874e-16,True
5,7,0.29325176332599595,-50.0,6.746635144675928e-16,True
7,16,0.29037876892835557,-9.0,1.6659512760639618e-16,True
9,12,0.289477072398046,-42.0,-3.0948417084064153e-16,True
2,11,0.2890592681697028,42.0,-2.785771130348304e-16,True
2,17,0.28865949991518813,-28.5,2.7205980814741954e-16,True
3,13,0.2860692768587619,39.5,3.949109201315959e-16,True
14,18,0.28576994330968863,-11.5,4.091317880134395e-16,True
8,9,0.28560397906060375,42.5,-1.9166182298081263e-16,True
4,12,0.28405500241133996,50.0,-9.936080663284177e-17,True
5,6,0.282763934983736,-20.5,-6.658274019437107e-16,True
7,15,0.2825617296663051,-41.5,-7.170710025206963e-17,True
11,14,0.28187283445040057,35.0,-6.185254122426647e-17,True
8,14,0.281128219503488,-7.5,3.2162643982544846e-16,True
1,18,0.2783745969329556,47.5,-6.905935149485606e-16,True
2,13,0.27819511549241654,11.5,-4.454260957851683e-16,True
8,18,0.27727787306988505,50.0,8.024321895998225e-17,True
1,9,0.2769085241122059,-47.5,-2.702384326949931e-17,True
9,13,0.2746358446416055,32.5,-3.16037739997859e-16,True
7,17,0.2725598674676555,-41.5,-3.2845298393543694e-16,True
8,11,0.2721338847140979,-22.0,-2.5896854158815806e-16,True
12,18,0.27176084569179415,45.5,-1.7711138623079943e-16,True
14,15,0.27141859823894793,50.0,8.394811467620962e-16,True
6,10,0.269643250026758,-39.0,-4.378478969506941e-16,True
10,11,0.2688279439245257,47.5,-9.735260114673282e-16,True
4,6,0.2680908711582673,45.5,-7.874857448948465e-17,True
3,9,0.2674186787800849,24.0,6.656965879709872e-17,True
11,13,0.2648148953805384,-45.5,-1.7518855058178914e-16,True
7,8,0.2645986281087503,21.5,1.1780778117812495e-15,True
11,12,0.26426208025434517,41.5,-1.5663783501696707e-17,True
11,15,0.26321058377475054,37.5,-1.2527017611459294e-16,True
5,11,0.2619940765210585,-48.5,3.498359560681653e-17,True
15,17,0.2577195426830772,-21.5,3.787337075765045e-16,True
16,17,0.2571913419699601,37.5,-8.120471946288785e-18,True
10,15,0.25716460407258085,31.5,-2.8861916852693893e-16,True
8,16,0.2548815666749759,-12.0,1.2738051642481143e-17,True
8,17,0.25388080757997217,26.0,1.8654670751156793e-16,True
6,17,0.2490228153142835,-28.0,-5.734857076136686e-16,False
17,18,0.24476470574673873,-17.0,-4.1490315789517023e-16,False
13,16,0.24144387004223714,38.5,1.4936326644340607e-16,False
5,9,0.23871749782831808,18.5,-3.00523457939641e-16,False
9,18,0.23849071081908563,20.5,1.4512352319838778e-17,False
2,10,0.23424008175233507,13.5,3.5425468119515857e-16,False
4,7,0.23352414062921759,-27.5,-1.0992444112306664e-16,False
3,5,0.23218920326906,-31.5,-3.182323067595174e-16,False
7,18,0.23053878346221907,50.0,-5.911633387001923e-17,False
3,12,0.23008500440282956,50.0,-4.687085879545166e-16,False
2,4,0.228548499341322,-39.5,9.521366477094143e-17,False
2,8,0.2275320611216928,21.0,1.3776614317079594e-16,False
4,15,0.2234588918085815,11.0,-1.7059898970439504e-16,False
12,14,0.21736048257268095,41.5,-4.6607735993358084e-17,False
9,14,0.2166130164025652,-28.5,-2.6301267574357597e-16,False
5,15,0.21629542322846854,35.5,2.8354030722091636e-16,False
6,12,0.21562116601104203,-41.5,5.721531569069611e-16,False
10,17,0.21432613327261543,-40.0,-6.00459586706513e-16,False
8,12,0.21319275115403716,41.5,4.1769209537018995e-16,False
