time          Epot                 Ekin                 Etot                 T
 1136.89  -5.616724712727E+03  2.465569016179E-01  -5.616478155825E+03 294.9111
 1157.56  -5.616725761270E+03  2.478030554165E-01  -5.616477958214E+03 296.4017
 1178.23  -5.616727607001E+03  2.497216621947E-01  -5.616477885339E+03 298.6966
 1198.90  -5.616730513505E+03  2.525741204160E-01  -5.616477939384E+03 302.1084
 1219.57  -5.616734528056E+03  2.563761091343E-01  -5.616478151947E+03 306.6561
 1240.24  -5.616739341936E+03  2.607724529799E-01  -5.616478569483E+03 311.9146
 1260.91  -5.616744245374E+03  2.650059128034E-01  -5.616479239461E+03 316.9783
 1281.58  -5.616748239890E+03  2.680871924038E-01  -5.616480152697E+03 320.6639
 1302.25  -5.616750359066E+03  2.691249740812E-01  -5.616481234091E+03 321.9052
 1322.92  -5.616750058959E+03  2.677078307126E-01  -5.616482351129E+03 320.2101
 1343.59  -5.616747511295E+03  2.641640433094E-01  -5.616483347251E+03 315.9713
 1364.27  -5.616743637918E+03  2.595464918596E-01  -5.616484091426E+03 310.4482
 1384.94  -5.616739793685E+03  2.552698476064E-01  -5.616484523837E+03 305.3328
 1405.61  -5.616737170011E+03  2.525026521075E-01  -5.616484667359E+03 302.0229
 1426.28  -5.616736221421E+03  2.516190951208E-01  -5.616484602326E+03 300.9661
 1446.95  -5.616736539864E+03  2.521170052829E-01  -5.616484422859E+03 301.5617
 1467.62  -5.616737175762E+03  2.529898208025E-01  -5.616484185941E+03 302.6057
 1488.29  -5.616737278602E+03  2.533170809689E-01  -5.616483961521E+03 302.9971
 1508.96  -5.616736408180E+03  2.526533065984E-01  -5.616483754874E+03 302.2031
 1529.63  -5.616734567287E+03  2.510057075324E-01  -5.616483561579E+03 300.2324
 1550.30  -5.616732033113E+03  2.486968122855E-01  -5.616483336301E+03 297.4707
 1570.97  -5.616729202753E+03  2.462012800635E-01  -5.616483001473E+03 294.4858
 1591.64  -5.616726640294E+03  2.441051774312E-01  -5.616482535116E+03 291.9786
 1612.31  -5.616725059354E+03  2.431064316252E-01  -5.616481952923E+03 290.7840
 1632.98  -5.616725153106E+03  2.438241987705E-01  -5.616481328907E+03 291.6425
 1653.65  -5.616727266411E+03  2.464869937219E-01  -5.616480779417E+03 294.8275
 1674.33  -5.616731117409E+03  2.506959086273E-01  -5.616480421501E+03 299.8619
 1695.00  -5.616735783902E+03  2.554536478564E-01  -5.616480330255E+03 305.5527
 1715.67  -5.616739993892E+03  2.594748527131E-01  -5.616480519040E+03 310.3625
 1736.34  -5.616742613943E+03  2.616723028205E-01  -5.616480941640E+03 312.9909
