lag_fs,mode_1_acf_hartree2,mode_1_acf_sem_hartree2,mode_1_normalized_acf,mode_2_acf_hartree2,mode_2_acf_sem_hartree2,mode_2_normalized_acf,mode_3_acf_hartree2,mode_3_acf_sem_hartree2,mode_3_normalized_acf,mode_4_acf_hartree2,mode_4_acf_sem_hartree2,mode_4_normalized_acf,mode_5_acf_hartree2,mode_5_acf_sem_hartree2,mode_5_normalized_acf,mode_6_acf_hartree2,mode_6_acf_sem_hartree2,mode_6_normalized_acf,mode_7_acf_hartree2,mode_7_acf_sem_hartree2,mode_7_normalized_acf,mode_8_acf_hartree2,mode_8_acf_sem_hartree2,mode_8_normalized_acf,mode_9_acf_hartree2,mode_9_acf_sem_hartree2,mode_9_normalized_acf,mode_10_acf_hartree2,mode_10_acf_sem_hartree2,mode_10_normalized_acf,mode_11_acf_hartree2,mode_11_acf_sem_hartree2,mode_11_normalized_acf,mode_12_acf_hartree2,mode_12_acf_sem_hartree2,mode_12_normalized_acf,mode_13_acf_hartree2,mode_13_acf_sem_hartree2,mode_13_normalized_acf,mode_14_acf_hartree2,mode_14_acf_sem_hartree2,mode_14_normalized_acf,mode_15_acf_hartree2,mode_15_acf_sem_hartree2,mode_15_normalized_acf,mode_16_acf_hartree2,mode_16_acf_sem_hartree2,mode_16_normalized_acf,mode_17_acf_hartree2,mode_17_acf_sem_hartree2,mode_17_normalized_acf,mode_18_acf_hartree2,mode_18_acf_sem_hartree2,mode_18_normalized_acf
75.0,-1.154088854583651e-06,1.5226225744423134e-06,-0.12337032798099583,-3.9962657355208135e-06,1.2857676112704663e-06,-0.4860676572376719,-2.204406724184428e-06,1.2156382025604029e-06,-0.3713698952436653,-2.463029865549572e-06,1.1320513894837194e-06,-0.4821115402148401,-2.3241165886274887e-06,7.843279418458764e-07,-0.5394158050513109,-2.141635747661234e-06,5.269434844986754e-07,-0.5235699261777039,-1.8287084576106284e-06,1.014764853347596e-06,-0.5201506800772265,-2.1488320404228353e-06,6.422210900799348e-07,-0.6468545661650936,-6.99560585120473e-07,6.006648511939978e-07,-0.2428262858966807,-1.3905822283093548e-06,6.581165359335853e-07,-0.5259151428135967,-6.788632396172182e-07,4.668968310501279e-07,-0.31931902222835035,-2.859493465802904e-07,3.2526123123705314e-07,-0.14783484532374014,-1.0383976283672796e-06,2.891432155425498e-07,-0.6715362878352795,-1.1110236682583693e-07,2.5895315466655117e-07,-0.0806074670020591,-3.257396601979674e-07,2.0102112807469811e-07,-0.299197439970103,-5.277095638522267e-07,1.4942711561310952e-07,-1.3420564048252948,-1.0158007357052614e-07,6.025517610677563e-08,-0.38186258377525356,-1.3442745302927618e-07,4.357657280569649e-08,-0.7275663402443823
75.5,-1.570529460841776e-06,1.5001255427343434e-06,-0.16788718989732046,-4.269103581573507e-06,1.3418624262650219e-06,-0.5192530511562577,-2.3466835029294937e-06,1.277599692324845e-06,-0.39533884427584065,-2.6579655750073835e-06,1.1466042514061934e-06,-0.5202681035777486,-2.2425906778377405e-06,7.909106129041329e-07,-0.5204940499997867,-2.2162560723904273e-06,5.428802598021559e-07,-0.5418125045211432,-2.0393663709186137e-06,1.121411078372057e-06,-0.5800693928795756,-2.0720636618956817e-06,6.057533284940419e-07,-0.6237452792346883,-7.096843111331176e-07,5.914293836320881e-07,-0.24634035864373627,-1.5427203530122152e-06,7.097158770252882e-07,-0.5834534472386249,-7.001695405495357e-07,4.759621771281229e-07,-0.3293409335412192,-3.1886708103483084e-07,3.176763295164185e-07,-0.16485320273456402,-1.0465479078163861e-06,2.9583301854475845e-07,-0.6768071092013481,-5.165219787827834e-08,2.541878202167151e-07,-0.03747492474740791,-3.18453314797409e-07,2.0625595307025e-07,-0.29250480730369666,-5.314297460179194e-07,1.5387698615958458e-07,-1.3515174694801373,-1.0312950661527091e-07,5.902935895817408e-08,-0.3876872547471859,-1.3639305364572946e-07,4.432459727269384e-08,-0.7382048282516167
76.0,-1.9533394735166943e-06,1.4813023175874925e-06,-0.20880899295480826,-4.477800416147041e-06,1.3981258068037136e-06,-0.5446369440621822,-2.4539858288361142e-06,1.329176358394771e-06,-0.4134157504538901,-2.821900124512917e-06,1.15563401361846e-06,-0.5523565241291997,-2.1403758577638635e-06,7.908543726670268e-07,-0.49677050285584323,-2.2507975087670493e-06,5.620623498696762e-07,-0.550256917775605,-2.231961980270906e-06,1.21451162449125e-06,-0.6348505346015181,-1.9758775263800887e-06,5.69663187942912e-07,-0.594790740308606,-7.078170756669474e-07,5.738582768691951e-07,-0.24569221770671282,-1.6784115387877906e-06,7.545699253550425e-07,-0.6347715555050226,-7.225301065246283e-07,4.825264679504184e-07,-0.3398587427949138,-3.5385196058434577e-07,3.08647489957066e-07,-0.1829402671700129,-1.0475562523960369e-06,3.014805982610152e-07,-0.6774592100511374,1.1302312330249263e-08,2.5006790788063876e-07,0.008200102250167976,-3.090770830323664e-07,2.1076738282506775e-07,-0.28389257832622994,-5.341837651535504e-07,1.5839896045480635e-07,-1.3585214149705396,-1.0494624074304666e-07,5.795212020519803e-08,-0.3945167712426969,-1.3808961289179153e-07,4.5022546924703215e-08,-0.7473871743710238
76.5,-2.2958973769677615e-06,1.464920506968637e-06,-0.24542790729003655,-4.61783620594576e-06,1.4540657960105744e-06,-0.5616695622066359,-2.5239411192127377e-06,1.3685639040590512e-06,-0.4252009117736636,-2.9540684807405196e-06,1.1595099545734813e-06,-0.5782270548441552,-2.0190865782219795e-06,7.841436058483968e-07,-0.468619869325528,-2.2442958092095807e-06,5.823644684980292e-07,-0.5486674344280978,-2.4033994205198044e-06,1.2923726121020337e-06,-0.6836135294709552,-1.8622460225182025e-06,5.371145070674962e-07,-0.5605846898818803,-6.941750590119163e-07,5.486523577210671e-07,-0.24095690198575723,-1.7954329878195278e-06,7.916070354358957e-07,-0.6790288103633731,-7.456774194564191e-07,4.866239753243173e-07,-0.35074661667178003,-3.9022341311427666e-07,2.9877463913881506e-07,-0.20174418514802556,-1.0415751205972547e-06,3.060279624586557e-07,-0.6735911859575894,7.674066717153288e-08,2.468428971640528e-07,0.0556772188880751,-2.9783544853001824e-07,2.1462498438971763e-07,-0.27356694508237495,-5.359745433361928e-07,1.6297168822078374e-07,-1.3630756726423023,-1.070043125265837e-07,5.7065222321902596e-08,-0.40225353083768534,-1.3950556428489872e-07,4.56588057748675e-08,-0.7550507769301125
77.0,-2.5925962589827252e-06,1.449587336202092e-06,-0.2771445625894988,-4.6859659468182165e-06,1.5094927201972784e-06,-0.5699562142277305,-2.554796572283963e-06,1.394335083757416e-06,-0.4303990388928758,-3.0541519205714283e-06,1.1589040386444691e-06,-0.5978173091085356,-1.880698299513755e-06,7.709388951254281e-07,-0.4365006438381586,-2.1967729530370284e-06,6.018952091363144e-07,-0.5370494278062021,-2.5511166693181314e-06,1.353705249638853e-06,-0.7256296458736643,-1.7333579389106912e-06,5.115266324864432e-07,-0.5217860104888731,-6.691136814687085e-07,5.169071840304695e-07,-0.23225778234164002,-1.8917663684009937e-06,8.199234509980329e-07,-0.715461883197774,-7.693645869945888e-07,4.883686689041802e-07,-0.36188842364590984,-4.272259430057938e-07,2.887522909389589e-07,-0.22087436798816554,-1.0288385232100876e-06,3.0945860765740244e-07,-0.6653543727221055,1.4356317133523096e-07,2.447208920011192e-07,0.10415856949524903,-2.8495493567348545e-07,2.1790487605433236e-07,-0.26173597408598337,-5.36810835976744e-07,1.6757386991045651e-07,-1.3652025090148838,-1.0927127533059139e-07,5.6398071924155164e-08,-0.41077555925558906,-1.4063787134143112e-07,4.6224033620719195e-08,-0.7611792014638626
77.5,-2.8388926686428244e-06,1.4339042518570047e-06,-0.30347327092042714,-4.680676747576431e-06,1.5642153554631008e-06,-0.5693128864677003,-2.5455401819550614e-06,1.4054892257755592e-06,-0.42883964213135006,-3.122475244597497e-06,1.1547420613148866e-06,-0.6111908631362517,-1.7275429941907299e-06,7.515586301655073e-07,-0.40095406552838153,-2.10905972165452e-06,6.191015277649677e-07,-0.5156060006828461,-2.6729036301501943e-06,1.3976054906322008e-06,-0.7602702526022542,-1.5914989196013791e-06,4.960265511051885e-07,-0.47908274068195306,-6.332261548705107e-07,4.801342188932025e-07,-0.2198007700696322,-1.9657656287653545e-06,8.388555636416887e-07,-0.7434482408473596,-7.933263726403541e-07,4.879475339213603e-07,-0.3731594035969901,-4.6404478703837093e-07,2.7929997538487497e-07,-0.2399095858603162,-1.0097507522912943e-06,3.117442498409303e-07,-0.6530102277860167,2.1060275089153989e-07,2.4378420373352956e-07,0.15279741357485516,-2.706842083807631e-07,2.2069946456680882e-07,-0.24862806739172616,-5.367174842913251e-07,1.7218485788404388e-07,-1.3649650995838265,-1.1171774113824598e-07,5.5966886788426226e-08,-0.41997238026182876,-1.4148084986427587e-07,4.6709423744799985e-08,-0.7657416831962004
78.0,-3.031344690470155e-06,1.4166109128912929e-06,-0.3240460967987336,-4.601596768358244e-06,1.6182006884379827e-06,-0.5596943518714321,-2.495923373400865e-06,1.4014291485618781e-06,-0.42048084482187714,-3.1597809508280704e-06,1.1481552564461286e-06,-0.6184930529071463,-1.5621451412588298e-06,7.265249047851226e-07,-0.36256605331350933,-1.9828561754723226e-06,6.327941391232666e-07,-0.4847527701882879,-2.7668472270989206e-06,1.4235206838512118e-06,-0.7869912018265101,-1.4390796749977113e-06,4.926745554331879e-07,-0.43320056725535233,-5.873159590182599e-07,4.403952418504923e-07,-0.20386476312368426,-2.016131437334206e-06,8.479266881864096e-07,-0.7624964789645787,-8.173168075914348e-07,4.856237790512935e-07,-0.3844438594112885,-4.998067985855115e-07,2.710812458166552e-07,-0.2583984249108816,-9.848085329534215e-07,3.128695658842374e-07,-0.6368799854521001,2.7663359827445634e-07,2.440283962679183e-07,0.2007043979497251,-2.552656648438193e-07,2.230872512283473e-07,-0.2344658718779299,-5.35729799923958e-07,1.7678320360133304e-07,-1.362453247948062,-1.143151731896213e-07,5.577274287207462e-08,-0.429736717689978,-1.42032806831927e-07,4.710712915784697e-08,-0.7687290589284391
78.5,-3.1678566438692783e-06,1.3967275358251195e-06,-0.33863901518390593,-4.449918132987287e-06,1.671416549923484e-06,-0.5412456090132048,-2.4063844441220035e-06,1.3819307658651202e-06,-0.4053964856508974,-3.1675841548894425e-06,1.14033359428416e-06,-0.6200204459693491,-1.3872244620862526e-06,6.965448225704873e-07,-0.3219678408840204,-1.8207343227407424e-06,6.422211555628162e-07,-0.4451185202654608,-2.8315004417342985e-06,1.4312545437307679e-06,-0.8053809092846965,-1.2785389792816556e-06,5.01776996465269e-07,-0.3848736249323883,-5.322858476948403e-07,4.004485384993585e-07,-0.1847631187066455,-2.0419483702181104e-06,8.468139005505436e-07,-0.7722603862461748,-8.411936380321778e-07,4.8172278631322e-07,-0.3956748787172524,-5.335758179318784e-07,2.6462789902024584e-07,-0.27585689373239647,-9.545400486923003e-07,3.1285745447890506e-07,-0.6173052242971907,3.403538371893519e-07,2.454364982191834e-07,0.24693497973154643,-2.389379435205311e-07,2.2513833263554036e-07,-0.21946858104296033,-5.339068917004757e-07,1.8134791571253687e-07,-1.3578172780428088,-1.1701650393623816e-07,5.580153790271442e-08,-0.4398916339277425,-1.422960449074047e-07,4.741235464955414e-08,-0.7701537914430586
79.0,-3.2474006619861155e-06,1.37365851882e-06,-0.3471421486861706,-4.227749053055143e-06,1.7238837926301794e-06,-0.5142230806479352,-2.2780643651112197e-06,1.347161270251893e-06,-0.38377878063435855,-3.1476880816454796e-06,1.1324911036571305e-06,-0.6161260041479001,-1.2056867723339976e-06,6.625119304278154e-07,-0.27983385348251183,-1.6261342773134989e-06,6.470461575843131e-07,-0.3975442623507875,-2.8658670598070394e-06,1.4209610755243631e-06,-0.8151560156927714,-1.1123474647040717e-06,5.217469319528932e-07,-0.3348456385471661,-4.6910196224433905e-07,3.6387696672933963e-07,-0.16283119664184773,-2.042764686019427e-06,8.354347315448715e-07,-0.7725691150883032,-8.648337042860917e-07,4.766349209053311e-07,-0.40679453051320114,-5.64455941952593e-07,2.6021331313711634e-07,-0.2918218134385459,-9.194727788284057e-07,3.117663135661691e-07,-0.5946270675048405,4.0043352508901794e-07,2.479063210762505e-07,0.290524253283729,-2.2191510349712418e-07,2.269015224788517e-07,-0.20383281181262283,-5.31325356304005e-07,1.8585805278148414e-07,-1.3512519884395169,-1.1978461407058126e-07,5.6029733568388704e-08,-0.4502975890616579,-1.4227092296249929e-07,4.762071631888424e-08,-0.7700178230742264
79.5,-3.270058974088762e-06,1.347196531573653e-06,-0.3495642874881329,-3.938591153595341e-06,1.775515506444828e-06,-0.4790526710545714,-2.1127769053194507e-06,1.2976782717724705e-06,-0.35593329007468394,-3.102318137786291e-06,1.125737727294729e-06,-0.607245326808434,-1.0205299670503542e-06,6.255219799445393e-07,-0.23685988751560327,-1.4032819433851973e-06,6.472579231639202e-07,-0.34306311159917696,-2.8693644097231323e-06,1.3931315090195316e-06,-0.8161507882218495,-9.429879838166225e-07,5.496768548258843e-07,-0.28386401156349567,-3.9883662836448075e-07,3.350768547133297e-07,-0.13844121467853018,-2.0185505106652473e-06,8.139559001893983e-07,-0.7634113671822413,-8.88060887892019e-07,4.7081990022000774e-07,-0.4177199734085112,-5.915815720263321e-07,2.5783332812328414e-07,-0.3058456724688873,-8.80129353745727e-07,3.0963571139630985e-07,-0.5691835024301689,4.555924079375822e-07,2.5125784328149557e-07,0.3305433631921249,-2.043979801269936e-07,2.2840235710403866e-07,-0.1877430348883199,-5.280677603928559e-07,1.9028961584113434e-07,-1.3429673603858276,-1.225856738737841e-07,5.642708332954508e-08,-0.4608274094896517,-1.4196987276874622e-07,4.7729023602543585e-08,-0.7683884387277784
80.0,-3.2371421087303717e-06,1.317663514294264e-06,-0.34604552508154507,-3.587380999487917e-06,1.8262057367803317e-06,-0.43633481691196413,-1.9130622960402476e-06,1.2344645823578554e-06,-0.3222879592412428,-3.0341153565229616e-06,1.1209351500812802e-06,-0.5938953677268527,-8.347533725303499e-07,5.868413335988754e-07,-0.19374207157510487,-1.1568511843361224e-06,6.431860304972106e-07,-0.28281769663347156,-2.8418999173241018e-06,1.3486072589550745e-06,-0.8083388954404287,-7.73134967461467e-07,5.821232277185448e-07,-0.23273381751416128,-3.2275311483997554e-07,3.186166163474538e-07,-0.1120316693152164,-1.969682851708481e-06,7.827873844637055e-07,-0.7449297259559905,-9.107971114280718e-07,4.647765957829274e-07,-0.42841448188239944,-6.141271378697447e-07,2.572021979420688e-07,-0.31750165377836453,-8.371948267307233e-07,3.0654026750990336e-07,-0.5414175560297008,5.046959571718093e-07,2.552244493090835e-07,0.36616918141422133,-1.8660397459769774e-07,2.296695113884124e-07,-0.17139893697299827,-5.242488522217451e-07,1.9462429919438724e-07,-1.3332552184775677,-1.253722399174515e-07,5.696097914396648e-08,-0.4713027445813952,-1.4140132831634127e-07,4.773907546376103e-08,-0.7653112859797275
