mode_a,mode_b,maximum_absolute_normalized_crosscorrelation,signed_lag_of_maximum_fs,zero_lag_normalized_crosscorrelation,connected_at_threshold
6,17,0.24220170470559005,-28.0,-1.516273222388354e-16,False
2,8,0.2398357615707634,21.0,2.4182563499216067e-16,False
3,5,0.23978737225910657,-31.5,4.34717352243471e-16,False
13,16,0.23932384096545142,38.5,1.4179695542051045e-16,False
9,18,0.23765051555733166,20.5,2.472360759124196e-16,False
2,10,0.2357586857568242,13.5,-2.715749144876818e-17,False
5,9,0.23338903130070351,18.5,9.586955982759545e-17,False
3,12,0.23297409953751333,50.0,2.7400505872014604e-16,False
2,4,0.23190958904788234,-39.5,-3.0949637741082106e-16,False
4,7,0.23178427589957115,-27.5,-2.7631821331812375e-16,False
6,12,0.22513293046242697,-42.0,2.320748019431372e-16,False
4,15,0.22253479111195945,11.0,1.2080034823538262e-16,False
9,14,0.21784447491019912,-28.5,3.537105224246922e-16,False
5,15,0.21690263795702974,35.5,-2.2796178782903466e-16,False
12,14,0.2162216567850296,41.5,-1.812713717631845e-17,False
7,18,0.21595130037507843,50.0,-2.2879741096196142e-17,False
9,10,0.21543180656550143,-37.0,1.529650560300488e-16,False
10,17,0.21417002018740955,-40.0,-5.161393571446177e-16,False
3,10,0.21188927750683503,32.5,-5.735662448535028e-17,False
6,14,0.21140988762269056,44.5,-4.737292828579772e-16,False
10,18,0.21021787488954166,35.0,4.395890560564002e-16,False
8,10,0.20964507516993663,-24.5,-5.066755274946428e-16,False
8,12,0.20755540703947886,41.5,-9.145998338149188e-17,False
1,16,0.20747974085670154,-39.5,5.366334963836292e-17,False
1,14,0.20601975984281318,35.0,2.9667020357976466e-16,False
4,9,0.20505713937654865,45.5,-2.2678205509686047e-17,False
3,8,0.20425633014183367,19.0,-9.026957685245592e-17,False
10,14,0.20343563438529766,34.0,-1.1389374233765122e-16,False
5,13,0.20277861060027783,22.5,8.179835588528031e-17,False
4,16,0.2019183864619305,-33.0,1.9524427987695868e-17,False
1,8,0.19959252032541314,44.5,-7.128543623144425e-17,False
5,17,0.19936326512395605,-42.5,-1.0618242504366312e-16,False
10,13,0.19827837468794077,-27.0,4.2286435828280565e-16,False
12,17,0.198008862468046,-30.0,6.456446739145381e-16,False
5,12,0.19273656579627838,-27.5,5.687542586841542e-16,False
2,14,0.19240566285461863,26.5,-6.248551294139724e-18,False
8,13,0.19187495703734656,18.5,0.0,False
9,11,0.19039283180483868,12.5,1.916516060827726e-16,False
1,13,0.18538688744596232,48.5,-6.373021774674567e-16,False
13,14,0.1845679517567879,12.0,7.387217164116906e-17,False
6,11,0.18407335048640894,-41.5,8.5720454914261e-17,False
2,18,0.18348609962302773,27.5,-9.291518458726551e-17,False
1,12,0.17943026332718962,42.0,-4.544577264250651e-16,False
4,10,0.17858355475971477,41.0,-1.8114569467494427e-16,False
14,16,0.1773879411566014,47.0,3.5711447921093887e-17,False
6,9,0.17729438214457802,35.0,4.874947131512315e-16,False
6,7,0.17637692606490266,50.0,-4.664594145389816e-16,False
11,18,0.17314732843818184,14.5,2.6068341370178907e-16,False
7,9,0.17092921977745715,32.5,-2.5824142390843746e-16,False
3,6,0.17006922381885647,-41.5,-1.5827684746368657e-16,False
9,16,0.17004842668902645,-11.0,3.289163276428543e-16,False
7,12,0.16967502056752332,-24.0,3.1527491758787225e-16,False
12,16,0.1691441063693105,12.0,-4.710010803053339e-16,False
6,13,0.165338273685618,-16.5,-1.3812444615496238e-16,False
6,15,0.16483414880773575,-44.0,-6.487327488750674e-16,False
2,9,0.1643261220368045,40.0,-1.0385248998374467e-16,False
13,15,0.16384891522476452,41.5,-6.173715467691854e-16,False
3,16,0.16203833644161153,-27.5,-2.001265307664967e-16,False
